Model,NRMSE,NRMSE (x10^-2)
HA,0.016253327950835228,1.6253327950835228
ARIMA,0.027678851038217545,2.7678851038217545
LR,0.01026732474565506,1.026732474565506
XGBoost,0.006281523033976555,0.6281523033976555
FFNN,0.06040612980723381,6.040612980723381
FC-LSTM,0.012347513623535634,1.2347513623535633
FC-GRU,0.013205654826015234,1.3205654826015234
FM-GRU,0.004726110631600023,0.4726110631600023
