Model,MAE,MSE,RMSE,NRMSE
Baseline Model,0.9415448904037476,1.6623214483261108,1.2893104545942808,0.271298885345459
FM-GRU,0.9459322094917297,1.6433470249176025,1.2819309750987384,0.2697460651397705
