Model,MAE,MSE,RMSE,NRMSE
HA,1.1303716897964478,2.164930582046509,1.4713703075862679,0.30960822105407715
ARIMA,1.4469308853149414,4.497003555297852,2.12061395715907,0.4462231993675232
LR,0.9703352451324463,1.6671481132507324,1.2911808987321383,0.2716924548149109
XGBoost,0.43544888198375703,0.3463765025138855,0.5885259040957646,0.12383861541748047
FFNN,0.9211595177650451,1.506079947948456,1.2212034888897154,0.25696770250797274
FC-LSTM,1.091265320777893,2.2956679582595827,1.4990412763885619,0.3154307991266251
FC-GRU,1.130200481414795,2.364074230194092,1.515670423022317,0.3189299315214157
FM-GRU,0.6009483337402344,0.7140998899936676,0.8401624866979182,0.17678841352462768
