metric,batch_average,pooled
MAE,0.5847841097662846,0.5847841501235962
MSE,0.6124174644549688,0.612417459487915
RMSE,0.7638874446324818,0.7825710571493908
NRMSE,0.16297548295309147,0.1648314744234085
R,0.6479067566494147,0.7481252551078796
